CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MODEL,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,EAF_PCT,UCF_PCT,NON_ELEC
us,USA,US-336,MILLSTONE-2,PWR,CE 2LP (DRYAMB,2700,918,869,DOMINION,CE,11-1969,11-1975,12-1975,91.6,91.7,-
us,USA,US-423,MILLSTONE-3,PWR,WH 4LP (DRYSUB,3650,1280,1210,DOMINION,WH,08-1974,02-1986,04-1986,92.1,92.1,-
us,USA,US-263,MONTICELLO,BWR,BWR-3 (Mark 1),2004,691,628,NSP,GE,06-1967,03-1971,06-1971,89,89,-
us,USA,US-220,NINE MILE POINT-1,BWR,BWR-2 (Mark 1),1850,642,613,EXELON,GE,04-1965,11-1969,12-1969,94,94,-
us,USA,US-410,NINE MILE POINT-2,BWR,BWR-5 (Mark 2),3988,1320,1277,EXELON,GE,08-1975,08-1987,03-1988,93.7,93.7,-
us,USA,US-338,NORTH ANNA-1,PWR,WH 3LP (DRYSUB,2940,990,948,DOMINION,WH,02-1971,04-1978,06-1978,90.4,92.6,-
us,USA,US-339,NORTH ANNA-2,PWR,WH 3LP (DRYSUB,2940,1011,944,DOMINION,WH,02-1971,08-1980,12-1980,89.9,92.5,-
us,USA,US-269,OCONEE-1,PWR,B&W LLP (DRYAM,2568,891,847,DUKEENER,B&W,11-1967,05-1973,07-1973,92.8,92.8,-
us,USA,US-270,OCONEE-2,PWR,B&W LLP (DRYAM,2568,891,848,DUKEENER,B&W,11-1967,12-1973,09-1974,94.1,94.1,-
us,USA,US-287,OCONEE-3,PWR,B&W LLP (DRYAM,2568,900,859,DUKEENER,B&W,11-1967,09-1974,12-1974,95.1,95.1,-
us,USA,US-255,PALISADES,PWR,CE 2LP (DRYAMB,2565,850,805,ENTERGY,CE,03-1967,12-1971,12-1971,89.1,89.1,-
us,USA,US-528,PALO VERDE-1,PWR,CE80 2LP (DRYA,3990,1414,1311,APS,CE,05-1976,06-1985,01-1986,91.9,91.9,-
us,USA,US-529,PALO VERDE-2,PWR,CE80 2LP (DRYA,3990,1414,1314,APS,CE,06-1976,05-1986,09-1986,93.1,93.1,-
us,USA,US-530,PALO VERDE-3,PWR,CE80 2LP (DRYA,3990,1414,1312,APS,CE,06-1976,11-1987,01-1988,92.2,92.2,-
us,USA,US-277,PEACH BOTTOM-2,BWR,BWR-4 (Mark 1),3951,1412,1300,EXELON,GE,01-1968,02-1974,07-1974,96.1,96.1,-
us,USA,US-278,PEACH BOTTOM-3,BWR,BWR-4 (Mark 1),3951,1412,1331,EXELON,GE,01-1968,09-1974,12-1974,95.6,95.6,-
us,USA,US-440,PERRY-1,BWR,BWR-6 (Mark 3),3758,1303,1240,FENOC,GE,10-1974,12-1986,11-1987,91.8,91.8,-
us,USA,US-266,POINT BEACH-1,PWR,WH 2LP (DRYAMB,1800,640,591,NEXTERA,WH,07-1967,11-1970,12-1970,93,93,-
us,USA,US-301,POINT BEACH-2,PWR,WH 2LP (DRYAMB,1800,640,591,NEXTERA,WH,07-1968,08-1972,10-1972,93,93,-
us,USA,US-282,PRAIRIE ISLAND-1,PWR,WH 2LP (DRYAMB,1677,566,522,NSP,WH,06-1968,12-1973,12-1973,91.5,91.5,-
us,USA,US-306,PRAIRIE ISLAND-2,PWR,WH 2LP (DRYAMB,1677,560,519,NSP,WH,06-1969,12-1974,12-1974,87,87,-
us,USA,US-254,QUAD CITIES-1,BWR,BWR-3 (Mark 1),2957,940,908,EXELON,GE,02-1967,04-1972,02-1973,96.2,96.2,-
us,USA,US-265,QUAD CITIES-2,BWR,BWR-3 (Mark 1),2957,940,911,EXELON,GE,02-1967,05-1972,03-1973,95.8,95.8,-
us,USA,US-458,RIVER BEND-1,BWR,BWR-6 (Mark 3),3091,1016,967,ENTERGY,GE,03-1977,12-1985,06-1986,90.1,90.1,-
us,USA,US-261,ROBINSON-2,PWR,WH 3LP (DRYAMB,2339,780,741,PROGRESS,WH,04-1967,09-1970,03-1971,85.7,85.8,-
us,USA,US-272,SALEM-1,PWR,WH 4LP (DRYAMB,3459,1254,1169,PSEG,WH,09-1968,12-1976,06-1977,89,89.2,-
us,USA,US-311,SALEM-2,PWR,WH 4LP (DRYAMB,3459,1200,1158,PSEG,WH,09-1968,06-1981,10-1981,90.2,90.3,-
us,USA,US-443,SEABROOK-1,PWR,WH 4LP (DRYAMB,3648,1296,1246,NEXTERA,WH,07-1976,05-1990,08-1990,93.1,93.1,-
us,USA,US-327,SEQUOYAH-1,PWR,WH 4LP (ICECND,3455,1221,1152,TVA,WH,05-1970,07-1980,07-1981,89.5,89.7,-
us,USA,US-328,SEQUOYAH-2,PWR,WH 4LP (ICECND,3455,1200,1139,TVA,WH,05-1970,12-1981,06-1982,92,92,-
us,USA,US-498,SOUTH TEXAS-1,PWR,WH 4LP (DRYAMB,3853,1354,1280,STP,WH,12-1975,03-1988,08-1988,90.9,90.9,-
us,USA,US-499,SOUTH TEXAS-2,PWR,WH 4LP (DRYAMB,3853,1354,1280,STP,WH,12-1975,04-1989,06-1989,86.1,86.1,-
us,USA,US-335,ST. LUCIE-1,PWR,CE 2LP (DRYAMB,3020,1045,981,FPL,CE,07-1970,05-1976,12-1976,84.8,84.8,-
us,USA,US-389,ST. LUCIE-2,PWR,CE 2LP (DRYAMB,3020,1050,987,FPL,CE,06-1977,06-1983,08-1983,87.6,87.9,-
us,USA,US-395,SUMMER-1,PWR,WH 3LP (DRYAMB,2900,1006,973,SCE&G,WH,03-1973,11-1982,01-1984,89.5,89.5,-
us,USA,US-280,SURRY-1,PWR,WH 3LP (DRYSUB,2587,890,838,DOMINION,WH,06-1968,07-1972,12-1972,91.5,91.7,-
us,USA,US-281,SURRY-2,PWR,WH 3LP (DRYSUB,2587,890,838,DOMINION,WH,06-1968,03-1973,05-1973,92,92,-
us,USA,US-387,SUSQUEHANNA-1,BWR,BWR-4 (Mark 2),3952,1330,1257,PPL_SUSQ,GE,11-1973,11-1982,06-1983,87.9,87.9,-
us,USA,US-388,SUSQUEHANNA-2,BWR,BWR-4 (Mark 2),3952,1330,1257,PPL_SUSQ,GE,11-1973,07-1984,02-1985,90,90,-
us,USA,US-250,TURKEY POINT-3,PWR,WH 3LP (DRYAMB,2644,829,837,FPL,WH,04-1967,11-1972,12-1972,87.3,87.4,-
us,USA,US-251,TURKEY POINT-4,PWR,WH 3LP (DRYAMB,2644,829,821,FPL,WH,04-1967,06-1973,09-1973,89.9,89.9,-
us,USA,US-424,VOGTLE-1,PWR,WH 4LP (DRYAMB,3626,1229,1150,SOUTHERN,WH,08-1976,03-1987,06-1987,94.7,94.7,-
us,USA,US-425,VOGTLE-2,PWR,WH 4LP (DRYAMB,3626,1229,1152,SOUTHERN,WH,08-1976,04-1989,05-1989,94.5,94.5,-
us,USA,US-382,WATERFORD-3,PWR,CE 2LP (DRYAMB,3716,1250,1168,ENTERGY,CE,11-1974,03-1985,09-1985,89.1,89.3,-
us,USA,US-390,WATTS BAR-1,PWR,WH 4LP (ICECND,3459,1210,1157,TVA,WH,07-1973,02-1996,05-1996,90.2,90.2,-
us,USA,US-391,WATTS BAR-2,PWR,WH 4LP (ICECND,3411,1218,1164,TVA,WH,09-1973,06-2020,10-2020,79.8,79.8,-
us,USA,US-482,WOLF CREEK,PWR,WH 4LP (DRYAMB,3565,1285,1200,WCNOC,WH,05-1977,06-1985,09-1985,83.3,83.3,-
