CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,SHUTDOWN
sk,SLOVAKIA,SK-2,BOHUNICE-1,PWR,1375,440,408,JAVYS,AEE,04-1972,12-1978,04-1980,12-2020
sk,SLOVAKIA,SK-3,BOHUNICE-2,PWR,1375,440,408,JAVYS,AEE,04-1972,03-1980,01-1981,12-2020
es,SPAIN,ES-1,JOSE CABRERA-1,PWR,510,150,141,UFG,WH,06-1964,07-1968,08-1969,04-2020
es,SPAIN,ES-2,SANTA MARIA DE GARONA,BWR,1381,466,446,NUCLENOR,GE,09-1966,03-1971,05-1971,08-2020
es,SPAIN,ES-3,VANDELLOS-1,GCR,1670,500,480,HIFRENSA,CEA,06-1968,05-1972,08-1972,07-1990
se,SWEDEN,SE-1,AGESTA,PHWR,80,12,10,SVAFO,ABBATOM,12-1957,05-1964,05-1964,06-1974
se,SWEDEN,SE-6,BARSEBACK-1,BWR,1800,615,600,BKAB,ASEASTAL,02-1971,05-1975,07-1975,11-1999
se,SWEDEN,SE-8,BARSEBACK-2,BWR,1800,615,600,BKAB,ABBATOM,01-1973,03-1977,07-1977,05-2020
se,SWEDEN,SE-2,OSKARSHAMN-1,BWR,1375,492,473,OKG,ABBATOM,08-1966,08-1971,02-1972,06-2020
se,SWEDEN,SE-3,OSKARSHAMN-2,BWR,1800,661,638,OKG,ABBATOM,09-1969,10-1974,01-1975,12-2020
se,SWEDEN,SE-5,RINGHALS-2,PWR,2652,963,852,RAB,WH,10-1970,08-1974,05-1975,12-2020
ch,SWITZERLAND,CH-8,LUCENS,HWGCR,28,7,6,EOS,NGA,04-1962,01-1968,NA,01-1969
ch,SWITZERLAND,CH-2,MUEHLEBERG,BWR,1097,390,373,BKW,GETSCO,03-1967,07-1971,11-1972,12-2020
tw,"TAIWAN, CHINA",TW-1,CHINSHAN-1,BWR,1840,636,604,TPC,GE,06-1972,11-1977,12-1978,06-2020
tw,"TAIWAN, CHINA",TW-2,CHINSHAN-2,BWR,1840,636,604,TPC,GE,12-1973,12-1978,07-1979,07-2020
uk,UK,GB-3A,BERKELEY-1,GCR,620,166,138,ML,TNPG,01-1957,06-1962,06-1962,03-1989
uk,UK,GB-3B,BERKELEY-2,GCR,620,166,138,ML,TNPG,01-1957,06-1962,10-1962,10-1988
uk,UK,GB-4A,BRADWELL-1,GCR,481,146,123,ML,TNPG,01-1957,07-1962,07-1962,03-2020
uk,UK,GB-4B,BRADWELL-2,GCR,481,146,123,ML,TNPG,01-1957,07-1962,11-1962,03-2020
uk,UK,GB-1A,CALDER HALL-1,GCR,268,60,49,SL,UKAEA,08-1953,08-1956,10-1956,03-2020
